,θ_wind (deg),U_hub (m/s),θ_wave_new (deg),Hs (m),Tp (s)
174996,31.294623674207543,8.195416722938056,355.806747436523,2.766902685165,13.764494895935
196809,89.75886082876613,13.065080860774032,333.107437133789,1.892541050911,10.210364341736
44408,52.434818385164746,0.8226519181023351,21.998504638672003,4.367968082428,14.267528533936
242738,139.29789299026874,2.040788896048063,314.70452499389603,0.498158454895,7.974873065948
262672,352.43335253797414,9.073235023764788,30.330619812012003,3.568761348724,14.883592605591
11030,199.8371171113973,8.889171872398222,164.702743530273,1.190794706345,5.930223941803
3086,185.19487825500408,8.006950394354238,2.6265869140620026,0.820152759552,8.351603507996
134987,343.08116830990764,7.55713752561804,333.37507629394497,2.181523323059,9.01948928833
242672,228.22927076640096,11.982208635042984,105.989898681641,1.367120146751,5.779231071472
235702,171.19763062255248,16.027442739413555,197.517456054688,2.695848464966,7.222302436829
161559,79.79685364521035,13.960142773750242,272.122260332108,2.251452207565,6.72789144516
1988,304.0080774143732,16.051681463543282,298.194713592529,2.456026315689,6.750473022461
158965,9.334553782398723,14.475352487966813,8.944160461425994,6.724465370178,14.873472213745
190800,307.2150603167016,3.805178062803116,33.29443359375,2.026058197021,11.621318817139
41039,239.8231195338697,4.764465040823027,13.145538330077995,1.537322998047,10.318943023682
277805,25.6379803710079,6.100497574892072,17.753715515137003,1.498861551285,9.091814994812
174712,114.6693908341644,0.9267054547841784,20.596733093262003,1.418389081955,11.569641113281
50358,7.114432101186161,4.565352776873718,17.390396118164006,2.950374603271,13.1832447052
232573,192.128802500132,6.699750837721363,158.973678588867,0.860423564911,4.860989093781
122168,291.8941069116228,16.898294582372433,35.823692321777,5.67310667038,13.688645362854
95483,206.28291033807704,11.917516929587048,310.080993652344,1.83230817318,10.283194541931
151457,116.17591663954435,5.275633299795479,11.556671142577995,1.545850038528,10.277228355408
244568,4.617576307502763,19.881837949683323,331.518810272217,5.888751029968,11.565390586853
239227,334.7563068604849,4.592896405691151,21.053375244140994,1.386548280716,9.893943786621
191516,16.5318501400114,21.996973570408905,341.484497070312,4.75695514679,9.297737121582
27210,6.427296170539433,8.144119687077952,24.421768188477003,3.660907268524,14.619602203369
85975,160.49450010347158,9.650362200435389,332.25431060791,2.843414306641,12.2587890625
130514,188.4068505338408,7.492748512124388,27.480621337890994,2.405898094177,12.845769882202
173275,274.16346379902984,14.289137993491236,67.321792602539,1.605508565903,5.218796730042
225924,55.3129524252247,1.4528342561635492,203.92123413085895,1.639934301376,6.702502727509
8193,67.93256884649881,7.957993347999108,358.102066040039,2.28805398941,10.615902900696
176860,301.1683639965262,9.047911484931108,43.48881530761699,2.445974826813,10.250584602356
256299,15.4761261596612,15.392681437329026,4.6883239746090055,3.387716770172,12.191947937012
74961,275.9553454697547,6.595590493053916,50.97129821777301,0.972191095352,6.926518917084
105462,0.5477938798517978,14.250882177441644,6.321044921875,3.357112169266,12.618231773376
40637,12.94671123589866,8.26061413635873,352.158020019531,1.308309555054,7.317014694214
220334,216.99054506207327,19.6159563061282,144.17610168457,3.024563550949,7.340337276459
97401,25.02060233703068,18.017964828173067,346.133415222168,3.874546051025,9.702382087708
129386,62.6520600642005,21.529480702397727,348.743461608887,5.689021110535,13.684417724609
190483,18.055480136871672,9.15788219801068,330.806858062744,1.460499048233,9.171148300171
16593,68.65455501369873,14.47247461938336,346.697937011719,3.684225797653,12.879309654236
171647,283.8095982174178,7.2877584175090036,40.128890991210994,1.423426747322,8.985303878784
40325,208.5139124280421,14.47196751644072,153.03694152832,1.819079041481,5.7969622612
269014,273.9274811937794,9.54051872508558,13.843048095702995,1.363434553146,10.455334663391
76547,193.57165754758176,12.097890362013237,91.595672607422,2.08260679245,9.920746803284
233582,36.95119564051611,14.70294717094841,3.1274871826170028,2.167382717133,8.145275115967
244344,76.58248318515442,17.690789280621182,327.542911529541,4.483443260193,12.604801177979
10759,59.04977293449575,11.5667929385868,329.178035736084,2.505074262619,8.994248390198
162713,0.6102424245407714,11.400967860218277,354.793655395508,1.232497692108,4.810607433319
133219,324.89950908961384,14.838518253012406,31.000862121582003,4.694770336151,14.061317443848
175893,43.31900165590537,14.083976993743107,336.543251037598,2.510840177536,7.938059329987
155207,234.39010386594595,7.513396901260823,1.948272705077997,0.61318552494,8.635433197021
15488,352.1941849690812,19.505904174419697,17.711975097655994,4.917394161224,11.125650405884
107272,210.32982964117303,6.6097528370216025,38.79722595214801,2.55516910553,14.820478439331
267604,357.36310412326947,10.799547732084475,352.435363769531,2.095527172089,8.331746101379
266776,2.439004638110479,11.28613450618706,18.403938293457003,2.199493169785,7.643381595612
107725,208.03562491807125,12.737395840323956,151.894760131836,1.931208133698,6.526580810547
183532,355.270918202677,14.757261286395073,23.999954223633,5.730996131897,15.355954170227
